id编号,标题,点赞数量,投币数量,收藏数量,播放次数,评论1,评论2,评论3,评论4,评论5
67,Python零基础入门学习2020最新版（SiKi学院） - 第三季,500,429,2654,2.6万,"置顶
素材、资料、源码下载：学习资源整合包",老实说不建议学Python，作为入门相对于其他语言确实容易上手，但是你想找工作还是学习其他语言，首先Python目前用于人工智能和大数据分析以及爬虫会多一点，其次对于人工智能和大数据分析这两方面，门槛极高，基本上都是非科班的硕研以上，还需要很好的算法做基础，爬虫方面没有多少公司会用到爬虫吧，单纯个人总结，如果你作为爱好学习可以，但是想靠Python来找工作，建议掂量掂量,"Python零基础入门学习第一季：Python零基础入门学习2020最新版（SiKi学院） - 第一季（Python入门）
Python零基础入门学习第二季：Python零基础入门学习2020最新版（SiKi学院） - 第二季（列表）
Python零基础入门学习第三季：Python零基础入门学习2020最新版（SiKi学院） - 第三季（if语句）
Python零基础入门学习第四季：Python零基础入门学习（SiKi学院）字典 - 第四季（字典）
Python零基础入门学习第五季：Python零基础入门学习（SiKi学院）While循环 - 第五季（While循环）
Python零基础入门学习第六季：Python零基础入门学习（SiKi学院）函数 - 第六季（函数）
Python零基础入门学习第七季：Python零基础入门学习（SiKi学院）类 - 第七季（类）
Python零基础入门学习第八季：Python零基础入门学习（SiKi学院）文件操作和异常处理 - 第八季（文件操作和异常处理）","Python零基础入门学习第一季：Python零基础入门学习2020最新版（SiKi学院） - 第一季（Python入门）
Python零基础入门学习第二季：Python零基础入门学习2020最新版（SiKi学院） - 第二季（列表）
Python零基础入门学习第三季：Python零基础入门学习2020最新版（SiKi学院） - 第三季（if语句）
Python零基础入门学习第四季：Python零基础入门学习（SiKi学院）字典 - 第四季（字典）
Python零基础入门学习第五季：Python零基础入门学习（SiKi学院）While循环 - 第五季（While循环）
Python零基础入门学习第六季：Python零基础入门学习（SiKi学院）函数 - 第六季（函数）
Python零基础入门学习第七季：Python零基础入门学习（SiKi学院）类 - 第七季（类）
Python零基础入门学习第八季：Python零基础入门学习（SiKi学院）文件操作和异常处理 - 第八季（文件操作和异常处理）",什么是磕牙
68,附答案【一周练完】学习Python刷爆这100道题！！！2023最新来袭！刷完你的Python就牛了！,853,607,2871,1.8万,"置顶
宝们！准备了Python全套课件籽料+练习题加V X:【uzi9988w】
备注：练习题
领取的小伙伴，请三连+留个“已三连，求分享”  ",已经礼貌三连，求分享,已三连，求分享,已三连，求分享,已三连求分享
69,【马哥教育】白嫖到价值9800的2022版Python入门视频教程！,4907,1118,3856,6.6万,"置顶
Python教程来了吼

马哥教育B站粉丝qq群：429823817（互相交流，领取课件）

【马哥教育Linux专题课】
马哥教育2021-小白8小时掌握运维自动化Ansible神器【运维必备】
马哥教育2021-8小时拿下LVS企业级实战【运维必备核心技能】
马哥教育2021-负载均衡利器-Tengine、Haproxy入门到精通【加薪必备】
马哥教育2021-新手快速掌握Nginx无敌教程【10W+人学习,98%好评】

【马哥教育python课程】
马哥教育2021-小白必学Python超详细实战教程典藏版【10W+人学习,98%好评】
马哥教育-Python-WEB-SSH实战训练营
Python/Python开发/Python入门/Python学习/Python编程/Python基础
马哥 Python 实战教程：Python Django 从零学会写网站（持续更新）
马哥Python实战教程：Python网络编程实现群聊软件

【云原生专题-马哥亲授】
马哥教育2021-基于Kubernetes和Jenkins的GitOps实战
马哥教育2021-Ceph分布式存储系统快速入门【涨薪30%+】
马哥教育2021-小白快速通关Envoy核心技术【马哥亲授】
马哥教育2021-从0开始学ISTIO【马哥亲授】",求课件,有面向对象部分嘛,爱了，爱了，已收藏,"收藏了，等于我学了，我学了等于我会了
收藏=会了"
70,阿里团队斥巨资打造了最新的Python教程，整整100个G，强烈建议学习！,1.1万,6749,2.5万,14.2万,"置顶
☑️配套源码+工具软件👉详见置顶 评 论👈https://gaoneng.bilibili.com/tetris/page/?pageId=761242840714526720&is_preview=1&event_source_type=4&mid=1878471956&buvid=EFFADFCF-3A7B-F331-E700-F28F700F0C6F62510infoc",老师好，我是一名大三学生，非科班的，目前想转到计算机专业，有看过java，c，Python等语言，有好多同学推荐我做java，但是我经过了解之后，java市场已经爆满了，问过一些老程序员，也不推荐，说市场只缺高级程序员，不缺小白。所以我最终选择的还是Python 主要自己也喜欢Python 语法简单，想先以Python作为一门入门语言，等能力提升之后 再向别的语言进行扩展，老师有指导的吗？,我看了一半，因为有点其他语言的基础，前边的都是两倍速看的，老师讲的很好，能抓住重点，标题很明确，知道自己在学什么或则知道自己需要学什么。不像某些企业推出的AI课，真不适合我这种没时间的人，一个简简单单一天能解决的知识点非要拖一个星期，里面的内容也是各种复杂繁琐，抓不到中心与重点。大家学Python不要进入误区，这个up主发布的是优质内容。,我当年就想报名学计算机专业的，家里不同意让我报名学汽修，说我英语二十几分用嘴写程序吗？,请问：IDLE是什么啊？怎么我的电脑上没有。谢谢了。
71,"盲目自学只会毁了你！2023一套针对萌新的【Python】教程,从零基础到【Python数据分析】项目实战，不再走弯路！",2.2万,8793,5.1万,29.8万,"置顶
全套课件+安装包激活码加V X:【aiot66688】
备注：bz 分享给B友
领取的小伙伴们，请关注UP主➕评论“学习”","d={""名字"":""zh"",""年龄"":18""}
for i in d
 print(i)
   
SyntaxError: EOL while scanning string literal

求指教为什么不能用呢",投币了！我录到了上交计算机科学与技术,三连求源码,pycharm激活码怎么搞
72,千锋教育宋宋老师Python数据分析教程_700集零基础Python入门到精通教程（python爬虫+自动化办公+人工智能）,10.2万,3.1万,29.9万,492.1万,"置顶
添加【Q群：298749885】免费获取配套资料，开启千锋交流学习的旅途~
也可点击以下链接领取视频配套资料→https://gaoneng.bilibili.com/tetris/page/?pageId=730841571398889472&is_preview=1&event_source_type=4&mid=18729798&buvid=13F83FD1-5C4D-5FDD-5528-36EB31FCAE0081846infoc

锋迷学前必读：千锋在线学员常见B站问题答疑_视频资料获取方法

推荐视频：

python基础：千锋教育Python零基础全套视频教程，python入门自学必备极速版
一套搞定：千锋教育宋宋老师Python数据分析教程_700集零基础Python入门到精通教程（python爬虫+自动化办公+人工智能）
办公自动化：千锋宋如宁最新Python办公自动化教程丨教你5分钟轻松搞定1天的工作
Python爬虫：千锋教育Python爬虫视频教程，Python基础+网络爬虫实战案例教程
Python速成：Python零基础教程快速上手_全程干货+实用技巧小白必看
数据库可视化：千锋教育数据分析与数据可视化教程，从小白到数据分析师自学全套视频
Flask：千锋教育Flask2框架从入门到精通，Python全栈开发必备教程
NumPy:千锋教育NumPy教程，保姆级基础入门Python数据分析
Pandas:千锋教育Pandas数据分析从入门到实战，零基础小白保姆级Python数据分析教程
PyEcharts:千锋教育PyEcharts数据可视化快速入门教程，大数据分析Python交互绘图实用利器
scrapy:千锋Python基础scrapy爬虫框架超强教学_入门+实战+项目_小白速成必备
项目：千锋团队项目：全套python项目开发实战教程
Python面试题：千锋教育2023版Python面试宝典Python面试核心必考100题",我冲声音选择了这套视频,"终于知道为什么最近审核那么慢了，
300小时的视频，审核大大不吃不睡觉也得半个月整完。。。然后审核大大转部门去开发去了，在然后，审核少了一个，审核又慢了",审核:这年头做审核都能学编程了,看了两个多月~爬到325集了~这集80分钟啊啊啊啊啊~求鼓励呀~
73,成功上岸！将自己进大厂前花3w买的Python全套教程，完整300集，现在拿出来分享给大家！拿走不谢！从入门到精通 学会即可就业《零基础入门学习python》,2189,256,4682,2.3万,"置顶
粉丝互助学习与相关资料领取:
V:【aka4tk】 备注：333 即可免费分享给需要的小伙伴  
【视频授权发布】2022年全新教程，从0开始，针对0基础小白学习，全程干货细讲，内容最新，无任何广告和废话，大家细品即可",大佬厉害了,up不要放弃啊，剪的很用心啊，期待下一次。,b站个个都是人才，我超喜欢在这里的（￣▽￣）,大佬请收下我的膝盖！
74,Python零基础入门学习（SiKi学院）函数 - 第六季,382,349,1529,2.1万,"置顶
素材、资料、源码下载：学习资源整合包",作为一个小白，很好理解，我一口气听下来，siki老师讲的很详细！,"Python零基础入门学习第一季：Python零基础入门学习2020最新版（SiKi学院） - 第一季（Python入门）
Python零基础入门学习第二季：Python零基础入门学习2020最新版（SiKi学院） - 第二季（列表）
Python零基础入门学习第三季：Python零基础入门学习2020最新版（SiKi学院） - 第三季（if语句）
Python零基础入门学习第四季：Python零基础入门学习（SiKi学院）字典 - 第四季（字典）
Python零基础入门学习第五季：Python零基础入门学习（SiKi学院）While循环 - 第五季（While循环）
Python零基础入门学习第六季：Python零基础入门学习（SiKi学院）函数 - 第六季（函数）
Python零基础入门学习第七季：Python零基础入门学习（SiKi学院）类 - 第七季（类）
Python零基础入门学习第八季：Python零基础入门学习（SiKi学院）文件操作和异常处理 - 第八季（文件操作和异常处理）",我被 return 搞晕了,"练习十四的代码也可以：
def test(d):
    for k,v in d.items():
        if len(v) > 2 :
            d【k】 = v【0:2】#可以截取前两个的内容0,1
    print(d)
d = {'name':'siki','age':'fiif', 'gender':【'男','女','男'】}
test(d)"
75,【学Python600集】浙江大学大佬专讲的Python编程教程，通俗易懂，2023最新最全版，零基础小白也能信手拈来！拿走不谢！学不会我退出IT界,446,61,297,3860,"置顶
领取视频资料的同学请
➕V：【python7508】备注：课程，先到先得哦！
请认准up主只有这一个号发大家❗其他号都不是up主，以免上当受骗",三连,零基础小白求一份！,已三连，有资料吗,直接三连
76,【超实用】Python实现机器学习算法（全）,1594,634,9006,12.7万,"源代码：https://github.com/583/machine_learning_notebook

各位大佬需要源代码可以参考这个",老师讲的好细啊，强烈推荐，零基础，超全超细讲解,"计算机视觉教学系列
【2021最全项目实战版】OpenCV图像处理-人工智能视频精选（从入门到精通）
【2021最全项目实战版】计算机视觉-人工智能视频精选（从入门到精通）
人工智能教学完整版（持续更新中）
【2021最全人工智能|计算机编程语言】Python基础快速入门全课程
【2021最新人工智能精选课】四天成为Python数据分析师：必备数据科学课程完整版",https://www.kaggle.com/uciml/iris,鸢尾花数据集在哪里
77,Python编程入门教程_19天Python从入门到精通【Python全套教程】,2406,538,6537,15.0万,"置顶
QQ435946716已满，小伙伴儿们请加QQ2217622915，发送本套课程链接，获取课程配套资料。","好评最多的人工智能开发教程推荐

Python基础：Python编程入门教程_19天Python从入门到精通【Python全套教程】
机器学习：机器学习基础入门教程【机器学习系列课程】
机器视觉：计算机视觉入门及案例实战_人工智能机器视觉基础入门
深度学习：Python深度学习_神经网络视频教程
NLP自然语言处理：NLP自然语言处理基础入门教程_Python人工智能基础视频
机器人操作系统ROS：机器人操作系统ROS零基础入门_ROS机器人入门课程【129课】
OpenCV：图像处理OpenCV入门教程【人工智能教程】

加QQ435946716，发送本套课程链接，获取配套【笔记+源码】",老师的电脑是mac里的pc虚拟机吧,很详细的Python入门课程,"我发布了一篇笔记，快来看看吧
  【图片】 计算机组成  CPU：处理指令 运算数据  内存：存储CPU要处理的数据，临时储存  内存的读写速度远远高于硬盘的读写速度   Python...
https://www.bilibili.com/h5/note-app/view?cvid=12859467&pagefrom=comment"
78,【大熊课堂2023版更新了】Python零基础入门必看动画课：Python3.11教程+python爬虫数据分析机器学习小游戏web开发,8268,4978,2.6万,29.5万,"置顶
2023年B站兄弟姐们福利来了，通过该链接购买成功返30元微信红包【一定通过电脑购买，复制该链接到浏览器地址栏】https://study.163.com/course/courseMain.htm?courseId=1209570828&share=2&shareId=480000001946434，课程无废话，不浪费大家学习的每一分钟，终身版课程，持续更新，丰富自己的技能！",【好消息】共同抗疫，我们在行动，B站福利来了，现将付费课程前9章免费提供大家学习（免费时间根据疫情情况会适当调整），希望大家减少出门，好好学习，共同抗疫。课程链接：https://study.163.com/course/introduction/1209570828.htm?share=2&shareId=480000001946434。,b站最好的Python视频，点赞,第2天打卡：成功输出hello world,有文化点，有知识点，看了3章，讲的非常好，收获很多，up主加油
79,Python要怎么学？Python要学到什么程度才能独立接单赚钱？看完这个视频恍然大悟,819,285,1323,1.8万,"置顶
哈喽，在学编程,学Python的小伙伴们，一个人摸黑学会很难,up也是过来人, 这里新建了一个扣裙：749874556，给大家准备了学习资源、好玩的项目，欢迎大家加入一起交流",刚开始学，在学语法呢,啊，这是我要学的软件，我也想做成这样子，可。。。努力吧,"学习过程中难免会遇到磕磕碰碰的问题，这些问题可能会困扰你许久，但是懂得人一下就解决了；
正在学习Python有问题or需要资料的小伙伴【观注+三连 】不要米，管祝VX公众浩：【零基础入门Python】回复暗号：【123】 发给大家哈

有问必答，内容包含：
Python Python安装包和破解文件
免费直播答疑课
Python书籍
Python零基础到实战教程
Python学习路线 + 学习规划
Python实战案例分享
接单技巧和渠道",再次激发了我学python的决心！
80,【整整600集】清华大佬196小时讲完的Python教程 全程干货无废话！学完变大佬！这还学不会，我退出IT圈！-Python基础-Python入门,81,44,371,3778,"置顶
需要的同学三连后评论留言领取",111，三连了大神~,三连了,三连了,已三连
81,「中国好老师」爆肝256天讲完的Python，拜托三连了！细致入微，从安装开始教！【Python教程】《零基础入门学习Python》,1079,602,2399,1.7万,"置顶
这次视频杨老师在工作时间之余耗时半年多，真的非常非常辛苦，麻烦大家【一键三连】支持一下~
视频中用到的【Python基础】【Python爬虫】【Python数据分析】所有素材都已经打包好了！

感谢大家的【一键三连】~","你为别人提供了价值，别人自然就愿意回馈你，就像我这个视频给予了你帮助，你回馈我一个三连！

课程是杨老师花了半年多的时间精心录制的
每节课课后都有专门的练习哦 大家可以积极在弹幕中参与哦~
B站发Python合集的人特别多，但是真的完整的却很少，这次真的是憋大招啦，大家看这个时长了就知道了，升级版单单是查阅多本书籍准备课件，每个视频都要花费2个小时
希望大家给老师一个三连当学费啦！还不好好学！！对了 别白嫖哦~~~",学到了学到了,看了up主的视频学到了很多感谢,非常棒，开始学习
82,Python零基础入门学习（SiKi学院）函数 - 第六季,382,349,1529,2.1万,"置顶
素材、资料、源码下载：学习资源整合包",作为一个小白，很好理解，我一口气听下来，siki老师讲的很详细！,"Python零基础入门学习第一季：Python零基础入门学习2020最新版（SiKi学院） - 第一季（Python入门）
Python零基础入门学习第二季：Python零基础入门学习2020最新版（SiKi学院） - 第二季（列表）
Python零基础入门学习第三季：Python零基础入门学习2020最新版（SiKi学院） - 第三季（if语句）
Python零基础入门学习第四季：Python零基础入门学习（SiKi学院）字典 - 第四季（字典）
Python零基础入门学习第五季：Python零基础入门学习（SiKi学院）While循环 - 第五季（While循环）
Python零基础入门学习第六季：Python零基础入门学习（SiKi学院）函数 - 第六季（函数）
Python零基础入门学习第七季：Python零基础入门学习（SiKi学院）类 - 第七季（类）
Python零基础入门学习第八季：Python零基础入门学习（SiKi学院）文件操作和异常处理 - 第八季（文件操作和异常处理）",我被 return 搞晕了,"练习十四的代码也可以：
def test(d):
    for k,v in d.items():
        if len(v) > 2 :
            d【k】 = v【0:2】#可以截取前两个的内容0,1
    print(d)
d = {'name':'siki','age':'fiif', 'gender':【'男','女','男'】}
test(d)"
83,【Python必看教程】编程大佬细心整理Python人工智能零基础全套教程，从入门到精通，免费分享给大家包教包会,655,381,1297,1.3万,居家隔离，好好学习！,太棒了，内容真的很实用,求分享，谢谢,居家隔离，好好学习！,受益匪浅！点赞收藏，加关注！
84,【官方随书视频】《Python编程：从入门到实践（第2版）》官方随书演示视频,1120,672,5328,6.5万,这声音好听,这声音，太酥了，爱了爱了,@图灵社区:你好意思吗?官网下载不了，叫我在b站看。,,"推荐大家结合书学习，学编程学Python,学Python首选图灵出版Eric Matthes 著袁国忠译的《Python编程：从入门到实践》；理论结合实践加上不断练习定会学有所成，学以致用。"
85,华为集团用72小时讲完的Python，整整300集，零基础入门，手把手教学，学完即可就业,1.4万,8863,4.6万,27.5万,"置顶
获取课件资料+pycharm破解安装包  请点击私信按钮✉️， 发送关键词“学习”，就可以了，有惊喜，先到先发。",收藏从未停止，学习从未开始,《Python——从入门到入土》,进我收藏夹吃灰吧,虽然我用不上，但是我觉得很厉害，所以一键三连，加关注，这类科普大佬才是真正属于未来发展时代的推进者。
86,Python零基础到大神，应该从哪里入手开始学习（零基础入门Python教程全集）,206,97,1073,2.3万,"置顶
三连并分享后，评论区评论：“人生苦短，我爱Python”
我们会在24小时内私信发你领取方式与学习社群入口
本课程为鱼C小甲鱼录制发布，纯搬运分享
课程包括PYTHON语言基础与项目两个部分，系统全面，非常适合白嫖自学，
希望大家多多三联点赞分享，持续更新优质内容！！！","您好，Python零基础教程有一个系列前几周失效了，想看能不能跟您获取一下。。我写的笔记中那个视频系列的目录部分如下：
P2 编码
P3 编码初体验
P4 print初体验
P6 数据类型的引入
P7 整形
P8 字符串
P9 布尔类型
P10 数据类型转换
……

十分感谢",人生苦短，我爱Python,人生苦短，我爱Python,“人生苦短，我爱Python”
87,Python13天精讲 | 小白轻松高效学会（廖雪峰教程）,454,160,2521,4.4万,"非常好的视频！居然没人评论？？？常年白嫖潜水的我都忍不住要出来给阿婆主一点支持！
廖雪峰的内容非常好，但是对于超级白的小白，很多不是关键内容都要花时间琢磨好久才能搞明白，我觉得这样不光是效率低的问题，而是估计压根坚持不了，一天后就会放弃。于是上b站来看看有没有相关讲解视频，这才发现了这个视频系列。跟着这个视频学算是事倍功半吧！最后再给up一点鼓励！加油",讲的真的很烂，老拿未知解释未知，牢老几把说你吗c语言，懂c语言还用听你讲python吗？,"分享给大家

Python3.9.0
https://pan.baidu.com/s/1w2LU0LapQalCdBB260WTJA
提取码: 44xk

Python3.8.2
https://pan.baidu.com/s/1mChjEDV3ds_eGBWzWCfWOA
提取码: j46d
    
Python-3.7.0
https://pan.baidu.com/s/1lR-bLovYxP3E4_F6BOJWFQ
提取码:v26y",up有这老师讲课用的文档吗,这个是用的Python2啊
88,黑马—python基础,577,193,2853,8.4万,"置顶
课件和对应源码
链接: https://pan.baidu.com/s/1-OC0w_PFve0R3xxtrpEiZQ 提取码: 6666","Python零基础入门学习第一季：Python零基础入门学习2020最新版（SiKi学院） - 第一季
Python零基础入门学习第二季：Python零基础入门学习2020最新版（SiKi学院） - 第二季
Python零基础入门学习第三季：Python零基础入门学习2020最新版（SiKi学院） - 第三季
Python零基础入门学习第四季：Python零基础入门学习（SiKi学院）字典 - 第四季（字典）
Python零基础入门学习第五季：Python零基础入门学习（SiKi学院）While循环 - 第五季（While循环）
Python零基础入门学习第六季：Python零基础入门学习（SiKi学院）函数 - 第六季（函数）",这个老师叫什么名字啊  讲的太好了,"01.Python基础V4.1.rar
02.Python核心编程V4.1.rar
03.【项目】飞机大战V4.1.rar
04.Linux基础V3.2.rar
05.网络编程v3.1.rar
06.MySQL数据库v3.1.rar
07.【项目】web服务器v3.1.rar
08.Python高级语法v3.1.rar
09.多任务v3.1.rar
10.【项目】mini-web框架v3.1.rar
11.HTML和CSSV4.0.rar
12.JavaScript和JQueryV4.0.rar
13.Vue.jsV4.0.rar
14.Flask框架V4.0.rar
15.Redis数据库V4.0.rar
16.Git版本管理V4.0.rar
17.【项目】新经资讯V4.0.rar
18.【项目】美多商城V4.0.rar
19.Django框架V4.0.rar
20.Shell编程和自动化运维V3.1.rar
21.数据结构和算法V1.0.rar
22.通用爬虫模块使用V4.0.rar
23.MongoDB数据库V4.0.rar
24.【项目】电商爬虫和Scrapy框架V4.0.rar
25.爬虫框架开发V4.0.rar
26.数据挖掘V4.0.rar
27.机器学习V4.0.rar
28.【项目】量化交易V4.0.rar
29.深度学习V4.0.rar
....
黑马python完整版+课件，资源地址#https://m3347.github.io#",楼主这个是B站最新的Python教学视频了
89,【你想学习的都在这！】清华大佬168小时讲完的Python教程，整整1000集。全程干货无废话，学完变大佬。这还学不会我不教Python了！,2066,814,5121,6.5万,"置顶
领取资料的B友们，请三连关注UP➕评论“学习”，发送关键词   “9 ”  ，就可以了，有惊喜，先到先发。",前期cherry讲的挺不错的，因为是win系统，中间竟然忽然换人了，而且还是苹果ios系统，版本不习惯，撤了,Python资料链接：https://t.bilibili.com/720965747493306405?spm_id_from=444.41.0.0,"建了一个零基础python学习小组，有需要加入-起学习的嘛④我呀

我是大学开始学习的python开发的，- -开始也是从简单基础的开始学起，现在也是工作3年了，大学期间和工作期间都收集了很多学习笔记和资料,分享给真正学习的友友们，都是自己整理的不嫌弃的来哈! ! !

工作3年了。学习期间都收集了适合零基础python学习的笔记和资料，分享给刚入门的友友们，都是自己整理的不嫌弃的来哈! ! !",已三连，学习
90,就因为这个，我学会了Python，现在月入40K，这套Python零基础-精通全套教程现在分享给大家，希望对你有所帮助！,549,367,1978,3.1万,"置顶
相关代码、课件、安装包等等学习资料添加杨老师小助手【 vx：zzi975 】三连支持一波即可领取！

本教程主讲老师：马士兵教育-杨淑娟老师
国内Java技术专家，Python技术专家，数据库技术专家，腾讯评选教育培训界“中国好老师”称号。
所编写的《Java程序设计教程》，被广大高校作为计算机专业教材。

本套教程适合新手已经刚开始学习的同学
想学习Python全栈开发、爬虫、数据分析、机器学习、人工智能、办公自动化等等的同学都可以从这里起步。",跟着杨老师的课程入门的，老师讲得很细，该覆盖到的点都涉及了。21年暑假花了俩月边玩边学，现在写论文基本能自己计算一些复杂指标了。希望老师能出本Python的教材,杨老师 这套视频怎么没有元组字典列表了，B站python我看过您的花两万多买的python那个视频讲的非常详细，,纯小白啥也不会,老师，pycham，激活网址能发一下吗
91,千锋教育宋宋老师Python数据分析教程_700集零基础Python入门到精通教程（python爬虫+自动化办公+人工智能）,10.2万,3.1万,29.9万,492.1万,"置顶
添加【Q群：298749885】免费获取配套资料，开启千锋交流学习的旅途~
也可点击以下链接领取视频配套资料→https://gaoneng.bilibili.com/tetris/page/?pageId=730841571398889472&is_preview=1&event_source_type=4&mid=18729798&buvid=13F83FD1-5C4D-5FDD-5528-36EB31FCAE0081846infoc

锋迷学前必读：千锋在线学员常见B站问题答疑_视频资料获取方法

推荐视频：

python基础：千锋教育Python零基础全套视频教程，python入门自学必备极速版
一套搞定：千锋教育宋宋老师Python数据分析教程_700集零基础Python入门到精通教程（python爬虫+自动化办公+人工智能）
办公自动化：千锋宋如宁最新Python办公自动化教程丨教你5分钟轻松搞定1天的工作
Python爬虫：千锋教育Python爬虫视频教程，Python基础+网络爬虫实战案例教程
Python速成：Python零基础教程快速上手_全程干货+实用技巧小白必看
数据库可视化：千锋教育数据分析与数据可视化教程，从小白到数据分析师自学全套视频
Flask：千锋教育Flask2框架从入门到精通，Python全栈开发必备教程
NumPy:千锋教育NumPy教程，保姆级基础入门Python数据分析
Pandas:千锋教育Pandas数据分析从入门到实战，零基础小白保姆级Python数据分析教程
PyEcharts:千锋教育PyEcharts数据可视化快速入门教程，大数据分析Python交互绘图实用利器
scrapy:千锋Python基础scrapy爬虫框架超强教学_入门+实战+项目_小白速成必备
项目：千锋团队项目：全套python项目开发实战教程
Python面试题：千锋教育2023版Python面试宝典Python面试核心必考100题",我冲声音选择了这套视频,"终于知道为什么最近审核那么慢了，
300小时的视频，审核大大不吃不睡觉也得半个月整完。。。然后审核大大转部门去开发去了，在然后，审核少了一个，审核又慢了",审核:这年头做审核都能学编程了,看了两个多月~爬到325集了~这集80分钟啊啊啊啊啊~求鼓励呀~
92,【Python教程】300集！零基础学Python从入门到精通全套课程教学，保姆式教学，小白也能学会！《零基础入门学习Python》,3823,657,9524,6.0万,"置顶
【视频授权发布】2022年全新教程，从0开始，针对0基础小白学习，全程干货细讲，内容最新，无任何广告和废话，大家细品即可 粉丝互助学习
课件资料与Pycharm破解安装包领取:
V:【aka4tk】 备注：bz  即可免费分享给需要的小伙伴",我买了系统课程，来个小伙伴分享给你一起学,一个赞学习python一小时,"笔记
课代表总结如下???
【Python教程】300集！零基础学Python从入门到精通全套课程教学，保姆式

总结:
一、计算机技术的问题?
二、计...",收藏四千八评论34
93,【完整版168集】零基础学Python从入门到精通~全套教程，现在分享给大家！手把手教学，小白也能学会！《零基础入门学习Python》,1112,242,2510,2.6万,从无到有，我正一步步见证未来大V的崛起。,学到了,完整版啥时候上啊，大佬,良心阿婆主,就喜欢这样的UP
94,IT大佬198小时讲完的python全套教程，整整350集，全程干货无废话，零基础入门学习python！,64,65,198,2183,已三连，求资料！,已三连求求求,已三连，求资料,三连 求资料,已三连，求资料
95,Python零基础【一节课学会基本操作】,178,171,1194,1.5万,谢谢老师的耐心讲解，对我这种半路出家的门外汉来说，琐碎的入门物看过很多学得很杂，看完这个后总算构建了比较完善的知识系统，补了很多小知识思路也清晰了，非常有帮助，给波66666666~(｡･ω･｡),说实话这么耐心的第一次见,这节课太好了，感谢分享!,有没有正在初学python的朋友呀，，每天有大咖线上分享最新技术教学，人工智能优先分享，还有学习视频分享，欢迎一起交流学习 看我签名,五楼，感谢up分享
96,【2023新版】Python零基础入门自学教程,85,28,193,1457,"置顶
需要文档资料的同学们，请支持一个后评论区留言“学习”，UP会挨个私发消息的啦！祝大家学有所成",学习,学习,学习,学习
97,【新手必看】用一周时间刷爆这100道Python基础练习题，你的技术绝对不比大牛差！！！,750,292,2337,2.6万,"置顶
教程只做技术分享，仅供个人学习研究！配套资料^允许礼貌白嫖，留下：“666”，UP都会回复的哈~",666，已学习,第二题的函数返回值表达式写错了，应该是return x*fact(x-1)，属于递归循环方法,666谢谢老师,学习！！！谢谢
98,编程大佬196小时讲完的Python全套教程，整整300集，全程干货无废话，零基础入门学习Python,1285,577,3474,6.0万,"置顶
全套Python学习资料➡️评论“学习”，私信给我回个“学习”，“三连➕关🐷”领取资料
请认准up主只有这一个号发大家❗",学习,学习,学习,学习！
99,【人工智能】Python是最好的语言！零基础学习Python机器学习，打造最好机械学习技术教学！,85,64,385,6809,"置顶
资料在简介处领取",求资料,求资料~,求资料,求资料
100,字节大佬一周讲完的Python，学完即就业，小白信手拈来，拿走不谢，允许白嫖！Python基础_Python入门_Python学习路线,1181,706,5392,3.2万,"置顶
资料获取方式：
1.点击链接直接获取：https://www.bilibili.com/opus/769063926618914851
2.关注公种号【Java编程入门】自助领取；
3.评论区留言或丝信up。",已三连，求资料,必须的已三联,你好，已三连，求资料，谢谢大佬,看了前面几集 感觉老师讲的真好，可以分享一份文字版教程吗
101,Python3的requests库使用教程,253,176,874,1.8万,"置顶
Python零基础入门到进阶的小伙伴一起学习交流加群领取课件资料、每晚还有大厂老师直播教学、学习路线、电子书籍，python学习相关资料等领取或者加微领取",老师我想请问，您在操作里用到的函数要怎么学习啊？之前的课程有讲解么？,有没有全部的课程视频，不单单是requests这块的课程,请问使用proxies就不用使用headers  了吗,这个requests 我死活是安装不上去，pip list  确实有request 模块 但是pycharm里面死活 import 不减去
